291,げんき（な）,元気,healthy; energetic,5
292,しずか（な）,静か,quiet,5
293,すき（な）,好き,fond of; to like,5
294,だいきらい（な）,大嫌い,to hate,5
295,だいすき（な）,大好き,very fond of; to love,5
296,にぎやか（な）,,lively,5
297,ハンサム（な）,,handsome,5
298,ひま（な）,暇,not busy; to have a lot of free time,5
299,およぐ,泳ぐ,to swim,5
300,きく,聞く,to ask,5
301,のる,乗る,to ride; to board,5
302,やる,,to do; to perform,5
303,でかける,出かける,to go out,5
304,いっしょに,一緒に,together,5
305,それから,,and then,5
306,だいじょうぶ,大丈夫,It's okay.; Not to worry.; Everything is under control.,5
307,とても,,very,5
308,どんな,,what kind of...,5
309,〜まい,〜枚,[counter for flat objects],5
310,〜まで,,to (a place); as far as (a place); till (a time),5
311,おかね,お金,money,6
312,おばあさん,,grandmother; old woman,6
313,おふろ,お風呂,bath,6
314,かんじ,漢字,kanji; Chinese character,6
315,きょうかしょ,教科書,textbook,6
316,こんしゅう,今週,this week,6
317,しみんびょういん,市民病院,Municipal Hospital,6
318,つぎ,次,next,6
319,テレビゲーム,,video game,6
320,でんき,電気,electricity,6
321,でんしゃ,電車,train,6
322,にもつ,荷物,baggage,6
323,ページ,,page,6
324,まど,窓,window,6
325,よる,夜,night,6
326,らいしゅう,来週,next week,6
327,らいねん,来年,next year,6
328,たいへん（な）,大変,tough (situation),6
329,あそぶ,遊ぶ,to play; to spend time pleasantly,6
330,いそぐ,急ぐ,to hurry,6
331,おふろにはいる,お風呂に入る,to take a bath,6
332,かえす,返す,to return (things),6
333,けす,消す,to turn off; to erase,6
334,しぬ,死ぬ,to die,6
335,すわる,座る,to sit down,6
336,たつ,立つ,to stand up,6
337,たばこをすう,たばこを吸う,to smoke,6
338,つかう,使う,to use,6
339,てつだう,手伝う,to help,6
340,はいる,入る,to enter,6
341,もつ,持つ,to carry; to hold,6
342,やすむ,休む,to be absent (from...); to rest,6
343,あける,開ける,to open (something),6
344,おしえる,教える,to teach; to instruct,6
345,おりる,降りる,to get off,6
346,かりる,借りる,to borrow,6
347,しめる,閉める,to close (something),6
348,つける,,to turn on,6
349,でんわをかける,電話をかける,to make a phone call,6
350,わすれる,忘れる,to forget; to leave behind,6
351,つれてくる,連れてくる,to bring (a person),6
352,もってくる,持ってくる,to bring (a thing),6
353,あとで,後で,later on,6
354,おそく,遅く,(do something) late,6
355,〜から,,because ...,6
356,けっこうです,結構です,That would be fine.; That wouldn't be necessary.,6
357,すぐ,,right away,6
358,ほんとうですか,本当ですか,Really?,6
359,ゆっくり,,slowly; leisurely; unhurriedly,6
360,あね,姉,(my) older sister,7
361,アパート,,apartment,7
362,いもうと,妹,younger sister,7
363,うた,歌,song,7
364,おとうと,弟,younger brother,7
365,おとこのひと,男の人,man,7
366,おにいさん,お兄さん,older brother,7
367,おねえさん,お姉さん,older sister,7
368,おんなのひと,女の人,woman,7
369,かいしゃ,会社,company,7
370,かぞく,家族,family,7
371,かみ,髪,hair,7
372,きょうだい,兄弟,brothers and sisters,7
373,くに,国,country; place of origin,7
374,くるま,車,car,7
375,コンビニ,,convenience store,7
376,しょくどう,食堂,cafeteria; dining commons,7
377,ちち,父,(my) father,7
378,Tシャツ,,T-shirt,7
379,め,目,eye,7
380,めがね,眼鏡,glasses,7
381,あたまがいい,頭がいい,bright; smart; clever,7
382,かっこいい,,great-looking,7
383,かわいい,,cute,7
384,せがたかい,背が高い,tall,7
385,せがひくい,背が低い,short (stature),7
386,ながい,長い,long,7
387,はやい,早い,fast,7
388,みじかい,短い,short (length),7
389,しんせつ,親切,kind,7
390,べんり,便利,convenient,7
391,うたう,歌う,to sing,7
392,かぶる,,to put on (a hat),7
393,しる,知る,to get to know,7
394,しっています,知っています,I know,7
395,しりません,知りません,I do not know,7
396,すむ,住む,to live,7
397,はく,,to put on (items below your waist),7
398,ふとる,太る,to gain weight,7
399,ふとっています,太っています,to be on the heavy side,7
400,めがねをかける,,to put on glasses,7
401,きる,着る,to put on (clothes above your waist),7
402,やせる,,to lose weight,7
403,やせています,,to be thin,7
404,けっこんする,結婚する,to get married,7
405,が,,but,7
406,ひとり,一人,one person,7
407,ふたり,二人,two people,7
408,もちろん,,of course,7
409,よかったら,,if you like,7
410,ざんねんですね,残念ですね,That's too bad.,8
411,あさって,,the day after tomorrow,8
412,あめ,雨,rain,8
